id,food,serving_size_g,calories_kcal,protein_g,fat_g,carbohydrates_g,vitamin_a_mg,vitamin_b6_mg,vitamin_b12_mg,vitamin_c_mg,vitamin_d_mg,vitamin_e_mg,calcium_mg,iron_mg,potassium_mg,magnesium_mg,selenium_mg,zinc_mg,iodine_mg,allergens
0,"Chicken breast, raw, skinless",100,120,22.5,2.6,0,0.01,0.60,0.0003,0,0,0,12,0.4,256,27,0.027,1.0,0,none
1,"Atlantic salmon, raw",100,208,20.4,13.4,0,0.04,0.90,0.0040,0,0.012,1.10,9,0.3,363,27,0.036,0.6,0.030,fish
2,"Egg, chicken, whole, raw",100,143,12.6,9.5,0.7,0.16,0.12,0.0020,0,0.002,1.05,56,1.75,138,12,0.031,1.3,0.050,egg
3,"Milk, cow, whole, raw (3.25%)",100,61,3.2,3.3,4.8,0.046,0.04,0.00045,0.9,0.0001,0.03,113,0.03,150,10,0.0031,0.4,0.016,milk
4,"Almonds, raw",100,579,21.2,49.9,21.6,0,0.14,0,0,0,25.6,269,3.7,733,270,0,3.1,0,tree nuts
5,"Oats (groats), raw",100,389,16.9,6.9,66.3,0,0.12,0,0,0,0.50,54,4.7,429,177,0,2.9,0,none
6,"Wheat berries (hard wheat), raw",100,339,13.2,2.5,71.2,0,0.30,0,0,0,1.50,34,3.6,431,138,0,2.7,0,wheat (gluten)
7,"Broccoli, raw",100,34,2.8,0.4,6.6,0.031,0.19,0,89.2,0,0.78,47,0.7,316,21,0,0,0,none
8,"Spinach, raw",100,23,2.9,0.4,3.6,0.469,0.195,0,28.1,0,2.00,99,2.7,558,79,0,0,0,none
9,"Apple, with skin, raw",100,52,0.3,0.2,13.8,0.003,0.041,0,4.6,0,0.18,6,0.1,107,5,0,0,0,none
10,food,serving_size_g,calories_kcal,protein_g,fat_g,carbohydrates_g,vitamin_A_mg,vitamin_B6_mg,vitamin_B12_mg,vitamin_C_mg,vitamin_D_mg,vitamin_E_mg,calcium_mg,iron_mg,potassium_mg,magnesium_mg,selenium_mg,zinc_mg,iodine_mg,allergens
11,"Carrot, raw",100,41,0.9,0.2,10,0.835,0.138,0,5.9,0,0.66,33,0.3,320,12,0,0.2,0,none
12,"Tomato, raw",100,18,0.9,0.2,3.9,0.042,0.08,0,13.7,0,0.54,10,0.3,237,11,0,0.2,0,none
13,"Potato, raw",100,77,2.0,0.1,17.5,0,0.30,0,19.7,0,0.01,11,0.8,429,23,0,0.4,0,none
14,"Banana, raw",100,89,1.1,0.3,22.8,0.003,0.367,0,8.7,0,0.10,5,0.3,358,27,0,0.2,0,none
15,"Orange, raw",100,47,0.9,0.1,11.8,0.011,0.06,0,53.2,0,0.18,40,0.1,181,10,0,0.1,0,none
16,"Strawberries, raw",100,32,0.7,0.3,7.7,0.001,0.05,0,58.8,0,0.29,16,0.4,153,13,0,0.2,0,none
17,"Blueberries, raw",100,57,0.7,0.3,14.5,0.003,0.05,0,9.7,0,0.57,6,0.3,77,6,0,0.1,0,none
18,"Grapes, raw",100,69,0.7,0.2,18.1,0.003,0.086,0,10.8,0,0.19,10,0.4,191,7,0,0.1,0,none
19,"Onion, raw",100,40,1.1,0.1,9.3,0,0.12,0,7.4,0,0.02,23,0.2,146,10,0,0.2,0,none
20,"Garlic, raw",100,149,6.4,0.5,33,0,1.24,0,31.2,0,0.08,181,1.7,401,25,0,1.2,0,none
22,"Cucumber, raw",100,15,0.7,0.1,3.6,0.005,0.04,0,2.8,0,0.03,16,0.3,147,13,0,0.2,0,none
23,"Cabbage, white, raw",100,25,1.3,0.1,6,0.005,0.12,0,36.6,0,0.15,40,0.5,170,12,0,0.2,0,none
24,"Lettuce, iceberg, raw",100,14,0.9,0.1,3,0.025,0.09,0,2.8,0,0.18,18,0.4,141,7,0,0.1,0,none
25,"Peas, green, raw",100,81,5.4,0.4,14.5,0.038,0.17,0,40,0,0.13,25,1.5,244,33,0,1.2,0,none
26,"Corn, sweet, raw",100,86,3.2,1.2,19,0.009,0.09,0,6.8,0,0.05,2,0.5,270,37,0,0.5,0,none
27,"Rice, white, long-grain, raw",100,365,7.1,0.7,80,0,0.16,0,0,0,0.11,28,1.5,115,25,0,1.2,0,none (gluten-free)
28,"Rice, brown, long-grain, raw",100,362,7.5,2.7,76,0,0.44,0,0,0,0.05,33,1.8,268,143,0,2.0,0,none (gluten-free)
29,"Lentils, raw",100,353,25,1.1,60,0,0.54,0,4.5,0,0.49,35,7.5,677,47,0,3.3,0,none
30,"Chickpeas, raw",100,364,19,6,61,0,0.54,0,4,0,0.35,49,6.2,875,115,0,3.4,0,none
31,"Kidney beans, raw",100,333,24,0.8,60,0,0.40,0,4,0,0.03,143,8.2,1406,138,0,2.8,0,none
33,"Beef, ground, raw, 85% lean",100,250,17.0,20.0,0,0,0.36,0.0025,0,0,0.26,18,1.9,270,20,0.018,4.8,0,none
34,"Pork loin, raw",100,242,21.0,17.0,0,0,0.60,0.0007,0,0,0.23,19,1.0,280,22,0.034,2.4,0,none
35,"Turkey breast, raw",100,114,23.0,1.0,0,0,0.60,0.0005,0,0,0.09,11,1.1,256,28,0.028,1.5,0,none
36,"Lamb, leg, raw",100,206,18.0,15.0,0,0,0.35,0.0020,0,0,0.14,17,1.6,330,22,0.015,4.0,0,none
37,"Cod, Atlantic, raw",100,82,18.0,0.7,0,0,0.18,0.0015,0,0.001,0.47,16,0.3,413,32,0.033,0.4,0.110,fish
38,"Tuna, skipjack, raw",100,132,28.0,0.6,0,0,0.28,0.0029,0,0.001,0.22,8,1.3,252,37,0.048,0.8,0.180,fish
39,"Shrimp, raw",100,99,24.0,0.3,0.2,0.01,0.11,0.0011,0,0.001,0.27,70,0.3,259,33,0.034,1.3,0.035,shellfish
40,"Mussels, blue, raw",100,86,12.0,2.2,3.7,0.04,0.16,0.0120,8,0.002,0.90,26,3.4,320,34,0.044,1.6,0.140,shellfish
41,"Tofu, firm",100,144,15.0,8.0,3.9,0,0.1,0,0,0,0.3,350,2.7,121,37,0,1.0,0,soy
42,"Cheese, cheddar",100,403,25.0,33.0,1.3,0.27,0.07,0.001,0,0.0006,0.73,721,0.7,180,28,0.014,3.1,0.030,milk
44,"Yogurt, plain, whole milk",100,61,3.5,3.3,4.7,0.019,0.06,0.0004,0.9,0.0001,0.01,121,0.1,155,11,0.002,0.6,0.016,milk
45,"Butter, unsalted",100,717,0.9,81.1,0.1,0.249,0.00,0.0002,0,0.0015,2.32,24,0.0,24,2,0.001,0.1,0.015,milk
46,"Olive oil, extra virgin",100,884,0,100,0,0,0,0,0,0,14.35,1,0,1,0,0,0,0,none
47,"Sunflower seeds, raw",100,584,20.8,51.5,20,0,1.35,0,0,0,35.1,78,5.0,645,325,0,5.0,0,none
48,"Pumpkin seeds, raw",100,559,30.2,49,10.7,0,0.14,0,1.9,0,0.29,46,8.8,809,592,0,7.8,0,none
49,"Walnuts, raw",100,654,15.2,65.2,13.7,0.001,0.54,0,1.3,0,0.70,98,2.9,441,158,0,3.1,0,tree nuts
50,"Hazelnuts, raw",100,628,15.0,61.0,17.0,0,0.56,0,0,0,15.0,114,4.7,680,163,0,2.5,0,tree nuts
51,"Peanuts, raw",100,567,25.8,49.2,16.1,0,0.35,0,0,0,8.3,92,4.6,705,168,0,3.3,0,peanut
52,"Soybeans, raw",100,446,36.5,19.9,30,0,0.38,0,6,0,0.85,277,15.7,1797,280,0,4.9,0,soy
53,"Quinoa, raw",100,368,14.1,6.1,64.2,0,0.49,0,0,0,2.4,47,4.6,563,197,0,3.1,0,none (gluten-free)
55,"Barley, pearled, raw",100,352,9.9,1.2,77.7,0,0.26,0,0,0,0.02,29,2.5,280,79,0,2.1,0,wheat (gluten)
56,"Rye grain, raw",100,338,10.3,1.6,75.9,0,0.29,0,0,0,0.85,24,2.7,510,110,0,2.7,0,wheat (gluten)
57,"Buckwheat, raw",100,343,13.3,3.4,71.5,0,0.21,0,0,0,0.05,18,2.2,460,231,0,2.4,0,none (gluten-free)
58,"Millet, raw",100,378,11.0,4.2,72.9,0,0.38,0,0,0,0.05,8,3.0,195,114,0,1.6,0,none (gluten-free)
